Input,Target
autor edgar  morin,"aut=morin , edgar%"
autor ilya  prigogine,"aut=prigogine, ilya%"
autor gilles  lipovetsky,"aut=lipovetsky, gilles%"
autor joel  roman,"aut=roman, joel%"
autor pascal  bruckner,"aut=bruckner, pascal%"
autor oliver  mongin,"aut=mongin, oliver%"
autor jeanpierre  dupuy,"aut=dupuy, jeanpierre%"
autor dominique  schnapper,"aut=schnapper, dominique%"
autor marc  guillaume,"aut=guillaume, marc%"
autor jean  chesneaux,"aut=chesneaux, jean%"
autor andre  comtesponville,"aut=comtesponville, andre%"
autor jeanmichel  besnier,"aut=besnier, jeanmichel%"
autor francois  jullien,"aut=jullien, francois%"
autor jacques  robin,"aut=robin, jacques%"
autor dominique  bourg,"aut=bourg, dominique%"
autor jeanmarc  ferry,"aut=ferry, jeanmarc%"
autor paul  thibaud,"aut=thibaud, paul%"
autor ilya  priogogine,"aut=priogogine, ilya%"
autor edgar  morin,"aut=morin, edgar%"
autor john  bowlby,"aut=bowlby, john%"
autor alvaro cabral,"aut=cabral, alvaro%"
autor leonidas h. b. hegenberg,"aut=hegenberg, leonidas h. b.%"
autor octanny s. da mota,"aut=mota, octanny s. da%"
autor mauro hegenberg,"aut=hegenberg, mauro%"
autor j. bowlby,"aut=bowlby, j.%"
autor v. dutra,"aut=dutra, v.%"
autor mary l.  clements,"aut=clements , mary l.%"
autor carol h.  best,"aut=best, carol h.%"
autor roger   amar,"aut=amar, roger %"
autor paul orsoni,"aut=orsoni, paul%"
autor cecil b.  drain,"aut=drain, cecil b.%"
autor susan b.  shipley,"aut=shipley, susan b.%"
autor eduarda mria baetas jorge rodrigues  pinheiro,"aut=pinheiro, eduarda mria baetas jorge rodrigues%"
autor edna cornelia  berry,"aut=berry, edna cornelia%"
autor mary loiuse  kohn,"aut=kohn, mary loiuse%"
autor giuseppe taranto,"aut=taranto, giuseppe%"
autor shirley m.  brooks,"aut=brooks, shirley m.%"
autor florence romijn tocantins,"aut=tocantins, florence romijn%"
autor heidi hildegard monken fernandes,"aut=fernandes, heidi hildegard monken%"
autor jose dib mourad,"aut=mourad, jose dib%"
autor fernando a. b.  pitrez,"aut=pitrez, fernando a. b.%"
autor sergio r.  pioner,"aut=pioner, sergio r.%"
autor nilton brandao da  silva,"aut=silva, nilton brandao da%"
autor hermes torres  junior,"aut=junior, hermes torres%"
autor fernando k. de  oliveira,"aut=oliveira , fernando k. de%"
autor sandro  stella,"aut=stella, sandro%"
autor ernani luis  rhoden,"aut=rhoden , ernani luis%"
autor antonio nocchi  kalil,"aut=kalil, antonio nocchi%"
autor alexandre  serra,"aut=serra , alexandre%"
autor maryam  parviz,"aut=parviz, maryam%"
autor peter  funcke,"aut=funcke , peter%"
autor jorge raul  alves,"aut=alves, jorge raul%"
autor carlos cleber alves  nunes,"aut=nunes, carlos cleber alves%"
autor sergio r.  pioner,"aut=pioner , sergio r.%"
autor helio f.  lemchein,"aut=lemchein , helio f.%"
autor joao henrique  irigaray,"aut=irigaray, joao henrique%"
autor luciana fernades  guterres,"aut=guterres, luciana fernades%"
autor denise  zaffari,"aut=zaffari, denise%"
autor jorge amilton  hohier,"aut=hohier , jorge amilton%"
autor marco antonio cardoso  ferreira,"aut=ferreira, marco antonio cardoso%"
autor luiz sergio  leonardi,"aut=leonardi , luiz sergio%"
autor marilia iracema leonardi,"aut=leonardi , marilia iracema%"
autor paulo roberto ott  fontes,"aut=fontes, paulo roberto ott%"
autor marco  nectoux,"aut=nectoux , marco%"
autor rene  eilers,"aut=eilers, rene%"
autor antonio nocchi  kalil,"aut=kalil , antonio nocchi%"
autor ernani luis  rhoden,"aut=rhoden, ernani luis%"
autor luiz  pereiralima,"aut=pereiralima, luiz%"
autor fabio luiz  waechter,"aut=waechter, fabio luiz%"
autor jose artur  sampaio,"aut=sampaio , jose artur%"
autor mario reis  alvaresdasilva,"aut=alvaresdasilva, mario reis%"
autor alcino lazaro da  silva,"aut=silva , alcino lazaro da%"
autor cirenio de almeida  barbosa,"aut=barbosa, cirenio de almeida%"
autor sergio  roll,"aut=roll , sergio%"
autor jose luiz gomes do  amaral,"aut=amaral, jose luiz gomes do%"
autor charly fernando genro  camargo,"aut=camargo , charly fernando genro%"
autor salvador gullo  neto,"aut=neto, salvador gullo%"
autor jose pio  furtado,"aut=furtado, jose pio%"
autor jose j.  camargo,"aut=camargo , jose j.%"
autor beatriz  moraes,"aut=moraes, beatriz%"
autor eraldo a.  lucio,"aut=lucio, eraldo a.%"
autor celso   blancher,"aut=blancher , celso %"
autor paulo e.  leaes,"aut=leaes, paulo e.%"
autor telmo p.  bonamigo,"aut=bonamigo, telmo p.%"
autor jose carlos stumpf  souto e carlos ary vargas souto,"aut=souto e carlos ary vargas souto, jose carlos stumpf%"
autor carlos ary vargas souto,"aut=souto , carlos ary vargas%"
autor jorge fonseca  ely,"aut=ely , jorge fonseca%"
autor pedro binis ely,"aut=ely , pedro binis%"
autor florentino fernandes  mendes,"aut=mendes, florentino fernandes%"
autor jose carlos  felicetti,"aut=felicetti, jose carlos%"
autor nilton  golbert,"aut=golbert, nilton%"
autor kim  manley,"aut=manley, kim%"
autor loretta  bellman,"aut=bellman, loretta%"
autor judy lumby,"aut=lumby, judy%"
autor jose manuel  cunha,"aut=cunha, jose manuel%"
autor lidia branco,"aut=branco, lidia%"
autor christine  spiers,"aut=spiers, christine%"
autor gosia  brykczynska,"aut=brykczynska, gosia%"
autor ruth  davies,"aut=davies, ruth%"
autor jane e.  schober,"aut=schober, jane e.%"
autor sharon l.  edwards,"aut=edwards, sharon l.%"
autor agnes  hibbert,"aut=hibbert, agnes%"
autor helen  allan,"aut=allan, helen%"
autor rhona  meek,"aut=meek, rhona%"
autor abigail  masterson,"aut=masterson , abigail%"
autor ailsa  cameron,"aut=cameron, ailsa%"
autor rozila  horton,"aut=horton, rozila%"
autor deena  graham,"aut=graham, deena%"
autor michele  malster,"aut=malster , michele%"
autor angela  parry,"aut=parry, angela%"
autor carolyn  mills,"aut=mills, carolyn%"
autor dina  plowes,"aut=plowes , dina%"
autor lesley  fudge,"aut=fudge, lesley%"
autor michael  lyon,"aut=lyon , michael%"
autor bernice  west,"aut=west, bernice%"
autor sarah  dawson,"aut=dawson, sarah%"
autor karrie  ward,"aut=ward , karrie%"
autor david  morris,"aut=morris, david%"
autor debbie  field,"aut=field, debbie%"
autor julia  cambitzi,"aut=cambitzi, julia%"
autor mark  harries,"aut=harries , mark%"
autor ella van  radera,"aut=radera, ella van%"
autor hilary  flanning,"aut=flanning, hilary%"
autor mark  collier,"aut=collier , mark%"
autor danielle  holmes,"aut=holmes, danielle%"
autor sonia ferreira  dias,"aut=dias, sonia ferreira%"
autor pedro lopes  ferreira,"aut=ferreira, pedro lopes%"
autor pedro beja afonso,"aut=afonso, pedro beja%"
autor vitor raposo,"aut=raposo, vitor%"
autor paula godinho,"aut=godinho, paula%"
autor hospital cuf,"aut=hospital cuf%"
autor joseph m.  kasonde,"aut=kasonde, joseph m.%"
autor john d.  martin,"aut=martin, john d.%"
autor armando pires  martin,"aut=martin, armando pires%"
autor elizabeth reis,"aut=reis, elizabeth%"
autor paulo melo,"aut=melo, paulo%"
autor rosa andrade,"aut=andrade, rosa%"
autor teresa calapez,"aut=calapez, teresa%"
autor sonia  vieira,"aut=vieira, sonia%"
autor elizabeth  reis,"aut=reis, elizabeth%"
autor pedro marques vidal,"aut=vidal, pedro marques%"
autor jack  levin,"aut=levin, jack%"
autor sergio francisco costa,"aut=costa, sergio francisco%"
autor mario guimaraes  ferri,"aut=ferri, mario guimaraes%"
autor joao david de  morais,"aut=morais, joao david de%"
autor carlos henrique mudado  maletta,"aut=maletta, carlos henrique mudado%"
autor donald b.  stone,"aut=stone , donald b.%"
autor r. warwick armastrong,"aut=armastrong, r. warwick%"
autor david m. macrina,"aut=macrina, david m.%"
autor joseph w. pankau,"aut=pankau, joseph w.%"
autor henrique  barros,"aut=barros, henrique%"
autor maria manuela ferreira pereira da silva  martins,"aut=martins, maria manuela ferreira pereira da silva%"
autor froma walsh,"aut=walsh, froma%"
autor monica mcgoldrick,"aut=mcgoldrick, monica%"
autor claudia oliveira dornelles,"aut=dornelles, claudia oliveira%"
autor froma  walsh,"aut=walsh, froma%"
autor monica  mcgoldrick,"aut=mcgoldrick , monica%"
autor monica mcgoldrick,"aut=mcgoldrick , monica%"
autor murray  bowen,"aut=bowen, murray%"
autor norman l.  paul,"aut=paul , norman l.%"
autor george h.  grosser,"aut=grosser, george h.%"
autor john  bynghall,"aut=bynghall, john%"
autor john s.  rolland,"aut=rolland, john s.%"
autor pauline  boss,"aut=boss, pauline%"
autor rhea  almeida,"aut=almeida, rhea%"
autor paulette moore  hines,"aut=hines, paulette moore%"
autor elliott  rosen,"aut=rosen, elliott%"
autor nydia  garciapreto,"aut=garciapreto, nydia%"
autor evelyn  lee,"aut=lee, evelyn%"
autor evan  imberblack,"aut=imberblack, evan%"
autor david  epston,"aut=epston, david%"
autor steven e.  gutstein,"aut=gutstein, steven e.%"
autor sandra b.  coleman,"aut=coleman, sandra b.%"
autor betty  carter,"aut=carter, betty%"
autor pedro morais,"aut=morais, pedro%"
autor grupo de coordenacao do plano de auditoria social,"aut=grupo de coordenacao do plano de auditoria social%"
autor susan p.  belding,"aut=belding, susan p.%"
autor linda blocker,"aut=blocker, linda%"
autor marion b. dolan,"aut=dolan, marion b.%"
autor isidoro ruiperez  cantera,"aut=cantera , isidoro ruiperez%"
autor paloma llorente  domingo,"aut=domingo, paloma llorente%"
autor maria teresa ramalhal teixeira,"aut=teixeira, maria teresa ramalhal%"
autor jose manuel nunes  moniz,"aut=moniz, jose manuel nunes%"
autor dulce gaspar  cabete,"aut=cabete , dulce gaspar%"
autor maria arminda mendes costa,"aut=costa, maria arminda mendes%"
autor jose hermogenes de  andrade,"aut=andrade, jose hermogenes de%"
autor liliana  sousa,"aut=sousa, liliana%"
autor daniela figueiredo,"aut=figueiredo , daniela%"
autor margarida  cerqueira,"aut=cerqueira, margarida%"
autor ladislas robert,"aut=robert, ladislas%"
autor eugene p.  odum,"aut=odum , eugene p.%"
autor c. m. l. baeta  neves,"aut=neves, c. m. l. baeta%"
autor mary c.  townsend,"aut=townsend, mary c.%"
autor silvia costa rodrigues,"aut=rodrigues, silvia costa%"
autor brabara c.  long,"aut=long , brabara c.%"
autor nancy fugate  woods,"aut=woods , nancy fugate%"
autor david c. junior sabiston,"aut=sabiston , david c. junior%"
autor ellen baily  raffensperger,"aut=raffensperger, ellen baily%"
autor mary lloyd  zuzi,"aut=zuzi, mary lloyd%"
autor lynn claire  marchesseault,"aut=marchesseault, lynn claire%"
autor xavier lloria  llacer,"aut=llacer, xavier lloria%"
autor andre luis de souza melgaco,"aut=melgaco, andre luis de souza%"
autor american college of surgeons,"aut=american college of surgeons%"
autor paulo  parente,"aut=parente, paulo%"
autor paulo  queiros,"aut=queiros, paulo%"
autor firmino filipe,"aut=filipe, firmino%"
autor clara gomes,"aut=gomes, clara%"
autor h. castro,"aut=castro, h.%"
autor internacional council of nurses,"aut=internacional council of nurses%"
autor herminia castro,"aut=castro, herminia%"
autor chantal  neves,"aut=neves, chantal%"
autor isabel neto,"aut=neto, isabel%"
autor ana margarida loff,"aut=loff, ana margarida%"
autor lilia f. costa,"aut=costa, lilia f.%"
autor alberto correia alves,"aut=alves, alberto correia%"
autor henrique dias,"aut=dias, henrique%"
autor rui rosado,"aut=rosado, rui%"
autor manuela anton onrubia,"aut=onrubia, manuela anton%"
autor antonio lourenco marques,"aut=marques, antonio lourenco%"
autor vasco rodrigo,"aut=rodrigo, vasco%"
autor margarida maria pires,"aut=pires, margarida maria%"
autor francisco sa lopes,"aut=lopes, francisco sa%"
autor m. santos,"aut=santos, m.%"
autor c. gomes,"aut=gomes, c.%"
autor paulo joaquim pina  queiros,"aut=queiros, paulo joaquim pina%"
autor firmino  filipe,"aut=filipe, firmino%"
autor clara  gomes,"aut=gomes, clara%"
autor isabel  neto,"aut=neto, isabel%"
autor margarida  vieira,"aut=vieira, margarida%"
autor ana  loff,"aut=loff, ana%"
autor jose cassiano  navalhas,"aut=navalhas, jose cassiano%"
autor lilia f.  costa,"aut=costa , lilia f.%"
autor alberto correira  alves,"aut=alves, alberto correira%"
autor henrique oliveira  dias,"aut=dias , henrique oliveira%"
autor fatima  luzio,"aut=luzio, fatima%"
autor rui  rosado,"aut=rosado, rui%"
autor manuela anton  onrubia,"aut=onrubia , manuela anton%"
autor alberto correia  alves,"aut=alves, alberto correia%"
autor antonio lourenco  marques,"aut=marques, antonio lourenco%"
autor vasco  rodriguo,"aut=rodriguo , vasco%"
autor margarida m¦  pires,"aut=pires, margarida m¦%"
autor maria isabel  soares,"aut=soares, maria isabel%"
autor manuela ferreira,"aut=ferreira, manuela%"
autor maria olivia  dias,"aut=dias, maria olivia%"
autor florence  nigtingale,"aut=nigtingale, florence%"
autor virginia  henderson,"aut=henderson, virginia%"
autor marta lima bastos,"aut=bastos, marta lima%"
autor idalina  gomes,"aut=gomes, idalina%"
autor joao  santos,"aut=santos, joao%"
autor maria helena  silva,"aut=silva, maria helena%"
autor teresa  felix,"aut=felix, teresa%"
autor jose  amendoeira,"aut=amendoeira, jose%"
autor hildegard e.  peplau,"aut=peplau , hildegard e.%"
autor trevor  clay,"aut=clay, trevor%"
autor l. cibanal  juan,"aut=juan, l. cibanal%"
autor janice rider  ellis,"aut=ellis, janice rider%"
autor celia love  hartley,"aut=hartley , celia love%"
autor maria virginia godoy da  silva,"aut=silva , maria virginia godoy da%"
autor elvio henriques jesus,"aut=jesus , elvio henriques%"
autor idalina delfina gomes,"aut=gomes, idalina delfina%"
autor cristina mesquita,"aut=mesquita, cristina%"
autor maria guadalupe mestrinho,"aut=mestrinho, maria guadalupe%"
autor ressurreicao carvalho,"aut=carvalho, ressurreicao%"
autor rogerio dinis,"aut=dinis, rogerio%"
autor ressurreicao  carvalho,"aut=carvalho, ressurreicao%"
autor idalina delfina  gomes,"aut=gomes, idalina delfina%"
autor rogerio paulo antunes borges  dinis,"aut=dinis, rogerio paulo antunes borges%"
autor ana cristina  mesquita,"aut=mesquita, ana cristina%"
autor maria guadalupe  mestrinho,"aut=mestrinho, maria guadalupe%"
autor paulo marques,"aut=marques, paulo%"
autor jose carlos  carvalho,"aut=carvalho , jose carlos%"
autor paula  sousa,"aut=sousa , paula%"
autor elizabete  borges,"aut=borges , elizabete%"
autor sandra  cruz,"aut=cruz, sandra%"
autor jose carlos marques de  carvalho,"aut=carvalho, jose carlos marques de%"
autor paula cristina moreira mesquita de  sousa,"aut=sousa, paula cristina moreira mesquita de%"
autor elizabete maria das neves  borges,"aut=borges, elizabete maria das neves%"
autor sandra silvia silva monteiro santos  cruz,"aut=cruz, sandra silvia silva monteiro santos%"
autor walter  hesbeen,"aut=hesbeen , walter%"
autor manuela  martins,"aut=martins, manuela%"
autor herminia  castro,"aut=castro , herminia%"
autor maria augusta  sousa,"aut=sousa, maria augusta%"
autor f. ribeiro,"aut=ribeiro, f.%"
autor r. costa,"aut=costa, r.%"
autor b. augusto,"aut=augusto, b.%"
autor z. almeida,"aut=almeida, z.%"
autor a. durao,"aut=durao, a.%"
autor a. dinis,"aut=dinis, a.%"
autor i. neto,"aut=neto, i.%"
autor cristina duarte  paulino,"aut=paulino , cristina duarte%"
autor ilda costa  tareco e,"aut=tareco e , ilda costa%"
autor manuela  rojao,"aut=rojao, manuela%"
autor pamela l.  swearingen,"aut=swearingen, pamela l.%"
autor cheri a.  howard,"aut=howard , cheri a.%"
autor rosali isabel barduchi  ohl,"aut=ohl, rosali isabel barduchi%"
autor helene  lazure,"aut=lazure , helene%"
autor margarida cunha  rosa,"aut=rosa, margarida cunha%"
autor nan  kemp,"aut=kemp , nan%"
autor eileen  richardson,"aut=richardson, eileen%"
autor antonio pereira  albino,"aut=albino, antonio pereira%"
autor herminia  castro,"aut=castro, herminia%"
autor m. i. roemer,"aut=roemer, m. i.%"
autor c. montoya aguilar,"aut=aguilar, c. montoya%"
autor antonio lobato  faria,"aut=faria, antonio lobato%"
autor maria belem salazar  posso,"aut=posso, maria belem salazar%"
autor andrea gomes da costa  mohallen,"aut=mohallen , andrea gomes da costa%"
autor rose meire imanichi  fugita,"aut=fugita, rose meire imanichi%"
autor olga guilhermina dias  farah,"aut=farah, olga guilhermina dias%"
autor marilia simon  sgambatti,"aut=sgambatti , marilia simon%"
autor beatriz ramos de almeida  savonitti,"aut=savonitti, beatriz ramos de almeida%"
autor beatriz helena ramos de almeida  savonitti,"aut=savonitti , beatriz helena ramos de almeida%"
autor lucimar aparecida barrense nogueira  sampaio,"aut=sampaio, lucimar aparecida barrense nogueira%"
autor maria helena ramos de  carvalho,"aut=carvalho, maria helena ramos de%"
autor raquel machado cavalca  coutinho,"aut=coutinho , raquel machado cavalca%"
autor loide corina  chaves,"aut=chaves, loide corina%"
autor beatriz ramos de almeida  savonitti,"aut=savonitti , beatriz ramos de almeida%"
autor raquel machado cavalca  coutinho,"aut=coutinho, raquel machado cavalca%"
autor mariana diniz de sousa,"aut=sousa, mariana diniz de%"
autor bruno  presto,"aut=presto , bruno%"
autor luciana  damazio,"aut=damazio , luciana%"
autor charleen  newton,"aut=newton, charleen%"
autor maria dolores lozano  vives,"aut=vives , maria dolores lozano%"
autor nancy  roper,"aut=roper, nancy%"
autor winifred  logan,"aut=logan , winifred%"
autor alison j.  tierney,"aut=tierney , alison j.%"
autor isabel reis,"aut=reis, isabel%"
autor marilynn e.   doenges,"aut=doenges , marilynn e. %"
autor mary frances  moorhouse,"aut=moorhouse , mary frances%"
autor joana pereira  bastos,"aut=bastos, joana pereira%"
autor renata  azevedo,"aut=azevedo, renata%"
autor sofia fonseca  ribeiro,"aut=ribeiro, sofia fonseca%"
autor glenn l.  irion,"aut=irion , glenn l.%"
autor joao clemente dantas do rego  barros,"aut=barros, joao clemente dantas do rego%"
autor alexander t.  trott,"aut=trott , alexander t.%"
autor joao  gouveia,"aut=gouveia, joao%"
autor sharon   baranoski,"aut=baranoski , sharon %"
autor elizabeth a.  ayello,"aut=ayello, elizabeth a.%"
autor verolyn rae  bolander,"aut=bolander, verolyn rae%"
autor patricia a.  potter,"aut=potter , patricia a.%"
autor anne griffin  perry,"aut=perry, anne griffin%"
autor isabel cristina fonseca da  cruz,"aut=cruz, isabel cristina fonseca da%"
autor marcia tereza da luz lisboa,"aut=lisboa, marcia tereza da luz%"
autor wiliam cesar alves machado,"aut=machado, wiliam cesar alves%"
autor julia b.  george,"aut=george, julia b.%"
autor ana maria vasconcellos thorell,"aut=thorell, ana maria vasconcellos%"
autor janet s. hickman hickman,"aut=hickman, janet s. hickman%"
autor charlotte  paul,"aut=paul , charlotte%"
autor joan s.  reeves,"aut=reeves, joan s.%"
autor marie l.  lobo,"aut=lobo, marie l.%"
autor janice ryan  belcher,"aut=belcher , janice ryan%"
autor lois j. brittain  fish,"aut=fish, lois j. brittain%"
autor peggy coldwell  foster,"aut=foster , peggy coldwell%"
autor agnes m.  bennett,"aut=bennett, agnes m.%"
autor suzanne m.  falco,"aut=falco, suzanne m.%"
autor mary kathryn  leonard,"aut=leonard , mary kathryn%"
autor agnes m.  bennett,"aut=bennett , agnes m.%"
autor peggy coldwell  foster,"aut=foster, peggy coldwell%"
autor suzanne m.  falco,"aut=falco , suzanne m.%"
autor julia gallagher  galbreath,"aut=galbreath, julia gallagher%"
autor susan g.  praeger,"aut=praeger, susan g.%"
autor barbara  talento,"aut=talento, barbara%"
autor janet s.  hickman,"aut=hickman, janet s.%"
autor noreen cavan  frisch,"aut=frisch , noreen cavan%"
autor susan stanwyck  bowman,"aut=bowman, susan stanwyck%"
autor ida lourenco,"aut=lourenco, ida%"
autor margot  phaneuf,"aut=phaneuf , margot%"
autor nidia  salgueiro,"aut=salgueiro, nidia%"
autor rui pedro  salgueiro,"aut=salgueiro, rui pedro%"
autor marilynn e.  doenges,"aut=doenges, marilynn e.%"
autor leonor abecasis,"aut=abecasis, leonor%"
autor maria adelaide madeira,"aut=madeira, maria adelaide%"
autor marlene isabel lopes,"aut=lopes, marlene isabel%"
autor patricia w.  iyer,"aut=iyer, patricia w.%"
autor barbara j.  taptich,"aut=taptich, barbara j.%"
autor donna  bernocchilosey,"aut=bernocchilosey, donna%"
autor regina machado  garcez,"aut=garcez, regina machado%"
autor rosalinda  alfarolefevre,"aut=alfarolefevre, rosalinda%"
autor maria virginia godoy da  silva,"aut=silva, maria virginia godoy da%"
autor cristine maria amorim  costa,"aut=costa, cristine maria amorim%"
autor lynda juall  carpenito,"aut=carpenito, lynda juall%"
autor mercedes  fuente,"aut=fuente, mercedes%"
autor ines martinez aguilar,"aut=aguilar, ines martinez%"
autor loiuse  grondin,"aut=grondin, loiuse%"
autor rita j.  lussier,"aut=lussier, rita j.%"
autor lise  riopelle,"aut=riopelle, lise%"
autor maria margarida da costa cunha rosa,"aut=rosa, maria margarida da costa cunha%"
autor a. carvalho,"aut=carvalho, a.%"
autor m.  espinheira,"aut=espinheira, m.%"
autor m. dinis,"aut=dinis, m.%"
autor m. meneses,"aut=meneses, m.%"
autor gail harkness  hood,"aut=hood , gail harkness%"
autor judith r.  dincher,"aut=dincher, judith r.%"
autor regina garcez,"aut=garcez, regina%"
autor c.a. portela,"aut=portela, c.a.%"
autor j.m. graveto,"aut=graveto, j.m.%"
autor ana maria thorell,"aut=thorell, ana maria%"
autor alice c.  geissler,"aut=geissler, alice c.%"
autor marcia tereza  luz lisboa,"aut=lisboa, marcia tereza  luz%"
autor lynda juall  carpenito,"aut=carpenito , lynda juall%"
autor ana  thorell,"aut=thorell, ana%"
autor rosette  poletti,"aut=poletti, rosette%"
autor rosa maria alberdi  castell,"aut=castell, rosa maria alberdi%"
autor mara paz mompart garcia,"aut=garcia, mara paz mompart%"
autor rosalinda alfaro,"aut=alfaro, rosalinda%"
autor j. gimenez payrato,"aut=payrato, j. gimenez%"
autor winifred w.  logan,"aut=logan , winifred w.%"
autor alison j.  tierney,"aut=tierney, alison j.%"
autor louise  grondin,"aut=grondin , louise%"
autor baronesa mcfarlane of  llandaff,"aut=llandaff  , baronesa mcfarlane of%"
autor george  castledine,"aut=castledine, george%"
autor isabel mora lima  basto,"aut=basto, isabel mora lima%"
autor marta lima  basto,"aut=basto , marta lima%"
autor alan  pearson,"aut=pearson , alan%"
autor barbara  vaughan,"aut=vaughan, barbara%"
autor m. j.  simeao,"aut=simeao, m. j.%"
autor ann  marriner,"aut=marriner , ann%"
autor juanita fogel  keck,"aut=keck , juanita fogel%"
autor sue marquis  bishop,"aut=bishop, sue marquis%"
autor elizabeth chong  choi,"aut=choi, elizabeth chong%"
autor karen r.  graaf,"aut=graaf, karen r.%"
autor cynthia l.  mossman,"aut=mossman , cynthia l.%"
autor maribeth  slebodnick,"aut=slebodnick, maribeth%"
autor dorothy kay  dycus,"aut=dycus, dorothy kay%"
autor donna n.  schmeiser,"aut=schmeiser , donna n.%"
autor roseanne  yancey,"aut=yancey, roseanne%"
autor kim tippey  peskoe,"aut=peskoe , kim tippey%"
autor s. brook  gumm,"aut=gumm, s. brook%"
autor jeanne donohue  eben,"aut=eben, jeanne donohue%"
autor margaret j.  nation,"aut=nation, margaret j.%"
autor sherry b.  nordmeyer,"aut=nordmeyer, sherry b.%"
autor terri  creekmur,"aut=creekmur, terri%"
autor janet  defelice,"aut=defelice, janet%"
autor anne  hodl,"aut=hodl, anne%"
autor cheryl y.  petty,"aut=petty, cheryl y.%"
autor judith  alexander,"aut=alexander, judith%"
autor carolyn j.  beagle,"aut=beagle, carolyn j.%"
autor pam  butler,"aut=butler, pam%"
autor deborah a.  dougherty,"aut=dougherty , deborah a.%"
autor karen d. andrws  robards,"aut=robards, karen d. andrws%"
autor beverly d.  poter,"aut=poter , beverly d.%"
autor rebecca s.  slon,"aut=slon, rebecca s.%"
autor larry p.  schumacher,"aut=schumacher, larry p.%"
autor elizabeth t.  carey,"aut=carey, elizabeth t.%"
autor ly nette  rasmussen,"aut=rasmussen, ly nette%"
autor bryan  searcy,"aut=searcy , bryan%"
autor nabcy l.  stark,"aut=stark, nabcy l.%"
autor william h.  hobble,"aut=hobble , william h.%"
autor theresa  lansigner,"aut=lansigner, theresa%"
autor deborah i.  mills,"aut=mills, deborah i.%"
autor narcia k.  sauter,"aut=sauter , narcia k.%"
autor marguerite  danko,"aut=danko, marguerite%"
autor nacy e.  hunt,"aut=hunt, nacy e.%"
autor judith e.  marich,"aut=marich, judith e.%"
autor ann  marriner,"aut=marriner, ann%"
autor cynthia a.  mccreary,"aut=mccreary, cynthia a.%"
autor margery  stuart,"aut=stuart  , margery%"
autor mary lee  ackeman,"aut=ackeman, mary lee%"
autor sallie anne  brink,"aut=brink, sallie anne%"
autor cthy greenwell  jones,"aut=jones, cthy greenwell%"
autor sandra l.  moody,"aut=moody, sandra l.%"
autor gwynn lee  perlich,"aut=perlich , gwynn lee%"
autor beth bruns  prusinski,"aut=prusinski, beth bruns%"
autor alta j. h.   gochmauer,"aut=gochmauer , alta j. h. %"
autor kathleen millican  miller,"aut=miller, kathleen millican%"
autor jane a. caldwell  gwin,"aut=gwin, jane a. caldwell%"
autor connie era  jarlsberg,"aut=jarlsberg, connie era%"
autor judy  mccormick,"aut=mccormick  , judy%"
autor kathryn w.  noone,"aut=noone, kathryn w.%"
autor jill k.  baker,"aut=baker, jill k.%"
autor debra a.  borchers,"aut=borchers, debra a.%"
autor debra trnka  cocharan,"aut=cocharan, debra trnka%"
autor nancy  orcutt,"aut=orcutt, nancy%"
autor elizabeth godfrey  terry,"aut=terry , elizabeth godfrey%"
autor cynthia a.  wesolwski,"aut=wesolwski, cynthia a.%"
autor sharon s.  conner,"aut=conner , sharon s.%"
autor judith k.  watt,"aut=watt , judith k.%"
autor carolyn l.  blue,"aut=blue, carolyn l.%"
autor karen m.  brubaker,"aut=brubaker, karen m.%"
autor katherine r.  papazian,"aut=papazian , katherine r.%"
autor cynthia m.  riester,"aut=riester , cynthia m.%"
autor mary e.  hermiz,"aut=hermiz , mary e.%"
autor mary  meininger,"aut=meininger, mary%"
autor karen j.  foli,"aut=foli, karen j.%"
autor tamara  johnson,"aut=johnson, tamara%"
autor mary carolyn  poat,"aut=poat, mary carolyn%"
autor ladema  poppa,"aut=poppa , ladema%"
autor susan t.  zoretich,"aut=zoretich , susan t.%"
autor joann sebastian  daily,"aut=daily, joann sebastian%"
autor judy sporleder  maupin,"aut=maupin, judy sporleder%"
autor martha carole  satterly,"aut=satterly, martha carole%"
autor sarah j.  beckaman,"aut=beckaman, sarah j.%"
autor patricia  chapmanboyce,"aut=chapmanboyce, patricia%"
autor sidbey  colemanehmke,"aut=colemanehmke, sidbey%"
autor cheryl a.  hailqay,"aut=hailqay, cheryl a.%"
autor rosalyn a.  pung,"aut=pung, rosalyn a.%"
autor deann m.  hensley,"aut=hensley, deann m.%"
autor kimberly a.  kilgore,"aut=kilgore, kimberly a.%"
autor jill vass   langfitt,"aut=langfitt , jill vass %"
autor laphyllis  peterson,"aut=peterson , laphyllis%"
autor a. colado romero,"aut=romero, a. colado%"
autor mercedes rubio galindo,"aut=galindo, mercedes rubio%"
autor pilar pera isla,"aut=isla, pilar pera%"
autor inaki armendariz lorente,"aut=lorente, inaki armendariz%"
autor merce vidal,"aut=vidal, merce%"
autor cristina collungo,"aut=collungo, cristina%"
autor margarida jansa,"aut=jansa, margarida%"
autor paulo joaquim pina queiros,"aut=queiros, paulo joaquim pina%"
autor teresa silveira lopes,"aut=lopes, teresa silveira%"
autor paula cristina nunes,"aut=nunes, paula cristina%"
autor silvia manuela pacao alminhas,"aut=alminhas, silvia manuela pacao%"
autor ana dos reis felicissimo,"aut=felicissimo, ana dos reis%"
autor ana caetano,"aut=caetano, ana%"
